華泰瑞舍,GLORIA RESIDENCE,"中山區林森北路357及359號2樓,-1,-2,-3,-5,-6至7樓,-1,-2,-3,-5,-6、2樓-7,-8,-9至5樓-7,-8,-9","No.357-359, Linsen N. Rd., Zhongshan Dist.",02-25310699,48
國王大飯店,Emperor Hotel,中山區南京東路1段118號,"No.118, Sec. 1, Nanjing E. Rd., Zhongshan Dist.",02-25811111,97
旅居文旅西門驛站昆明館,Hub Hotel Ximen Inn Kunming Branch,萬華區昆明街142號7-8樓,"7-8F., No.142, Kunming St., Wanhua Dist.",02-23818131,37
有誠商旅,Yusense Hotel,士林區至善路二段55號4樓至10樓,"No.55, Sec.2, Zhishan Rd.,Shihlin Dist.",02-88615599,64
新仕商務旅店　　,SHIN-SHIH HOTEL　　,中山區民生西路8號及附2-12樓,"No.8, Minsheng W. Rd., Jhongshan District",02-25627466,44
馥麗精品旅館,ELEGANCE HOTEL,內湖區內湖路1段325號1-5樓,"No.325, Sec. 1, Neihu Rd., Neihu Dist.",02-26586167,28
美上美旅館,MEI SHANG MEI HOTEL,萬華區西園路一段168號11樓,"11F., No.168, Sec. 1, Siyuan Rd., Wanhua District",02-23088105,9
富順大飯店,FORTUNE HOTEL,大同區南京西路177號,"No.177, Nanking W. Rd., Datong Dist.",02-25551016,88
苓旅旅館中山館,LININN ZS,"中山區建國北路2段91號1樓,93號1至7樓,2樓-1至7樓-1,95巷2號1樓,4號1樓","No.93, Sec. 2, Jianguo N. Rd., Zhongshan Dist.",02-25084588,42
京都商務旅館,Taipei Kyoto Hotel,中山區長春路38號3-10樓,"No.38, Changchun Rd., Zhongshan Dist.",02-25673366,40
白色空間設計旅店,White Space Design Hotel,中正區許昌街40號4樓、4樓之1、4樓之2,"4F.-2,4F.-1,4F., No. 40, Xuchang St., Zhongzheng Dist.",02-23822200,13
皇后旅店二館,Queen Hotel II,大同區南京西路163號四樓之2,"4F.-2, No.163, Nanjing W. Rd., Datong Dist.",02-25555877,30
